code,company_name,gics_sector,gics_industry_group,market_cap_rank
VEE,VEEM LTD,Industrials,Capital Goods,736
PHX,PHARMX TECHNOLOGIES LIMITED,Information Technology,Software & Services,737
EMH,EUROPEAN METALS HOLDINGS LIMITED,Materials,Materials,738
KKO,KINETIKO ENERGY LTD,Energy,Energy,739
RTR,RUMBLE RESOURCES LIMITED,Materials,Materials,740
HMY,HARMONEY CORP LIMITED,Financials,Financial Services,741
LIS,LI-S ENERGY LIMITED,Industrials,Capital Goods,742
KLV,KLEVO REWARDS LIMITED,Industrials,Commercial & Professional Services,743
RNT,RENT.COM.AU LIMITED,Communication Services,Media & Entertainment,744
ESK,ETHERSTACK PLC,Information Technology,Software & Services,745
BCM,BRAZILIAN CRITICAL MINERALS LIMITED,Materials,Materials,746
AV1,ADVERITAS LIMITED,Information Technology,Software & Services,747
KSN,KINGSTON RESOURCES LIMITED,Materials,Materials,748
LSA,LACHLAN STAR LIMITED,Materials,Materials,749
LTP,LTR PHARMA LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",750
PCG,PENGANA CAPITAL GROUP LIMITED,Financials,Financial Services,751
SNM,SENTINEL METALS LIMITED,Materials,Materials,752
AVL,AUSTRALIAN VANADIUM LIMITED,Materials,Materials,753
PVE,PO VALLEY ENERGY LIMITED,Energy,Energy,754
OR3,ORE RESOURCES LIMITED,Materials,Materials,755
TNC,TRUE NORTH COPPER LIMITED,Materials,Materials,756
IXR,IONIC RARE EARTHS LIMITED,Materials,Materials,757
ENX,ENEGEX LIMITED,Materials,Materials,758
CAF,CENTREPOINT ALLIANCE LIMITED,Financials,Financial Services,759
TOE,TORO ENERGY LIMITED,Energy,Energy,760
EXP,EXPERIENCE CO LIMITED,Consumer Discretionary,Consumer Services,761
KYP,KINATICO LTD,Information Technology,Software & Services,762
CRI,CRITICA LIMITED,Materials,Materials,763
SHG,SINGULAR HEALTH GROUP LTD,Health Care,Health Care Equipment & Services,764
NNL,NORDIC RESOURCES LTD,Materials,Materials,765
B4P,BEFOREPAY GROUP LIMITED,Financials,Financial Services,766
OSM,OSMOND RESOURCES LIMITED,Materials,Materials,767
SSL,SIETEL LIMITED,Real Estate,Real Estate Management & Development,768
AQD,AUSQUEST LIMITED,Materials,Materials,769
MTC,METALSTECH LIMITED,Materials,Materials,770
LCY,LEGACY IRON ORE LIMITED,Materials,Materials,771
3PL,3P LEARNING LIMITED,Consumer Discretionary,Consumer Services,772
NVU,NANOVEU LIMITED,Information Technology,Technology Hardware & Equipment,773
FND,FINDI LIMITED,Information Technology,Software & Services,774
BOL,BOOM LOGISTICS LIMITED,Industrials,Capital Goods,775
CAE,CANNINDAH RESOURCES LIMITED,Materials,Materials,776
VR1,VECTION TECHNOLOGIES LTD,Information Technology,Software & Services,777
NGY,NUENERGY GAS LIMITED,Energy,Energy,778
EVZ,EVZ LIMITED,Industrials,Capital Goods,779
MTH,MITHRIL SILVER AND GOLD LIMITED,Materials,Materials,780
LLM,LOYAL METALS LTD,Materials,Materials,781
AWJ,AURIC MINING LIMITED,Materials,Materials,782
SHO,SPORTSHERO LIMITED,Communication Services,Media & Entertainment,783
BCA,BLACK CANYON LIMITED,Materials,Materials,784
LBL,LASERBOND LIMITED,Industrials,Capital Goods,785
RAD,RADIOPHARM THERANOSTICS LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",786
M7T,MACH7 TECHNOLOGIES LIMITED,Health Care,Health Care Equipment & Services,787
RDM,RED METAL LIMITED,Materials,Materials,788
