code,company_name,gics_sector,gics_industry_group,market_cap_rank
S66,STAR COMBO PHARMA LIMITED,Consumer Staples,Household & Personal Products,1042
M4M,MACRO METALS LIMITED,Materials,Materials,1043
EVR,EV RESOURCES LTD,Materials,Materials,1044
BPM,BPM MINERALS LIMITED,Materials,Materials,1045
LDR,LODE RESOURCES LTD,Materials,Materials,1046
LAT,LATITUDE 66 LIMITED,Materials,Materials,1047
CVB,CURVEBEAM AI LIMITED,Health Care,Health Care Equipment & Services,1048
C1X,COSMOS EXPLORATION LIMITED,Materials,Materials,1049
JNS,JANUS ELECTRIC HOLDINGS LIMITED,Utilities,Utilities,1050
ERL,EMPIRE RESOURCES LIMITED,Materials,Materials,1051
ECL,EXCELSIOR CAPITAL LTD,Industrials,Capital Goods,1052
DUB,DUBBER CORPORATION LIMITED,Information Technology,Software & Services,1053
RAP,RAPTOR METALS LTD,Materials,Materials,1054
LGM,LEGACY MINERALS HOLDINGS LIMITED,Materials,Materials,1055
LCE,LONDON CITY EQUITIES LIMITED,Financials,Financial Services,1056
KAO,KAOKO METALS LIMITED,Other,Class Pend,1057
PRX,PRODIGY GOLD NL,Materials,Materials,1058
SVG,SAVANNAH GOLDFIELDS LIMITED,Materials,Materials,1059
OZM,OZAURUM RESOURCES LIMITED,Materials,Materials,1060
RLF,RLF AGTECH LTD,Materials,Materials,1061
ZNO,ZOONO GROUP LIMITED,Materials,Materials,1062
G1C,GROUP ONE CAPITAL LIMITED,Real Estate,Real Estate Management & Development,1063
CBL,CONTROL BIONICS LIMITED,Health Care,Health Care Equipment & Services,1064
GAL,GALILEO MINING LTD,Materials,Materials,1065
QFE,QUICKFEE LIMITED,Financials,Financial Services,1066
RMY,RMA GLOBAL LIMITED,Communication Services,Media & Entertainment,1067
RWL,RUBICON WATER LIMITED,Information Technology,Technology Hardware & Equipment,1068
MAY,MELBANA ENERGY LIMITED,Energy,Energy,1069
OEL,OTTO ENERGY LIMITED,Energy,Energy,1070
HTM,HIGH-TECH METALS LTD,Materials,Materials,1071
VRC,VOLT RESOURCES LIMITED,Materials,Materials,1072
SNS,SENSEN NETWORKS LIMITED,Information Technology,Software & Services,1073
TWL,TRADE WINDOW HOLDINGS LIMITED,Other,Class Pend,1074
BBC,BNK BANKING CORPORATION LIMITED,Financials,Banks,1075
HCT,HOLISTA COLLTECH LIMITED,Consumer Staples,Household & Personal Products,1076
SLM,SOLIS MINERALS LIMITED,Materials,Materials,1077
CIW,CLIME INVESTMENT MANAGEMENT LTD,Financials,Financial Services,1078
ADX,ADX ENERGY LTD,Energy,Energy,1079
A3D,AURORA LABS LIMITED,Industrials,Capital Goods,1080
CMD,CASSIUS MINING LIMITED,Materials,Materials,1081
GDM,GREAT DIVIDE MINING LTD,Materials,Materials,1082
PSL,PATERSON RESOURCES LTD,Materials,Materials,1083
HMG,HAMELIN GOLD LIMITED,Materials,Materials,1084
GMN,GOLD MOUNTAIN LIMITED,Materials,Materials,1085
AUQ,ALARA RESOURCES LIMITED,Materials,Materials,1086
BWF,BLACKWALL LIMITED,Financials,Financial Services,1087
MFD,MAYFIELD CHILDCARE LIMITED,Consumer Discretionary,Consumer Services,1088
JAV,JAVELIN MINERALS LIMITED,Materials,Materials,1089
HCL,HIGHCOM LIMITED,Industrials,Capital Goods,1090
HYT,HYTERRA LTD,Energy,Energy,1091
VPR,VOLT GROUP LIMITED,Utilities,Utilities,1092
CVR,CAVALIER RESOURCES LIMITED,Materials,Materials,1093
CQT,CONNEQT HEALTH LIMITED,Health Care,Health Care Equipment & Services,1094
ATS,AUSTRALIS OIL & GAS LIMITED,Energy,Energy,1095
PUR,PURSUIT MINERALS LTD,Materials,Materials,1096
KNB,KOONENBERRY GOLD LIMITED,Materials,Materials,1097
SNG,SIREN GOLD LIMITED,Materials,Materials,1098
ICE,ICETANA LIMITED,Information Technology,Software & Services,1099
VIT,VITURA HEALTH LIMITED,Health Care,Health Care Equipment & Services,1100
ACS,ACCENT RESOURCES NL,Materials,Materials,1101
FBR,FBR LTD,Industrials,Capital Goods,1102
GSN,GREAT SOUTHERN MINING LIMITED,Materials,Materials,1103
DAL,DALAROO METALS LTD,Materials,Materials,1104
CCE,CARNEGIE CLEAN ENERGY LIMITED,Utilities,Utilities,1105
PIQ,PROTEOMICS INTERNATIONAL LABORATORIES LTD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1106
VSR,VOLTAIC STRATEGIC RESOURCES LTD,Energy,Energy,1107
OVT,OVANTI LIMITED,Communication Services,Media & Entertainment,1108
UM1,UNITY METALS LIMITED,Materials,Materials,1109
3DP,POINTERRA LIMITED,Information Technology,Software & Services,1110
GAP,GALE PACIFIC LIMITED,Consumer Discretionary,Consumer Durables & Apparel,1111
ORP,ORPHEUS URANIUM LIMITED,Materials,Materials,1112
FLX,FELIX GROUP HOLDINGS LTD,Information Technology,Software & Services,1113
DEM,DE.MEM LIMITED,Utilities,Utilities,1114
AHK,ARK MINES LIMITED,Materials,Materials,1115
GRE,GREENTECH METALS LIMITED,Materials,Materials,1116
WMG,WESTERN MINES GROUP LTD,Materials,Materials,1117
LEG,LEGEND MINING LIMITED,Materials,Materials,1118
LSR,LODESTAR MINERALS LIMITED,Materials,Materials,1119
ABX,ABX GROUP LIMITED,Materials,Materials,1120
STH,STEPCHANGE HOLDINGS LIMITED,Information Technology,Software & Services,1121
BSA,BSA LIMITED,Industrials,Commercial & Professional Services,1122
TAS,TASMAN RESOURCES LTD,Materials,Materials,1123
ZGL,ZICOM GROUP LIMITED,Industrials,Capital Goods,1124
KRM,KINGSROSE MINING LIMITED,Materials,Materials,1125
P1E,PURE ONE CORPORATION LIMITED,Energy,Energy,1126
TAL,TALIUS GROUP LIMITED,Information Technology,Software & Services,1127
MGU,MAGNUM MINING AND EXPLORATION LIMITED,Materials,Materials,1128
AZI,ALTAMIN LIMITED,Materials,Materials,1129
ASP,ASPERMONT LIMITED,Communication Services,Media & Entertainment,1130
AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,Other,"Food, Beverage & Tobacco",1131
NUC,NUCHEV LIMITED,Other,"Food, Beverage & Tobacco",1132
AJX,ALEXIUM INTERNATIONAL GROUP LIMITED,Materials,Materials,1133
BTE,BOTALA ENERGY LTD,Energy,Energy,1134
EQX,EQUATORIAL RESOURCES LIMITED,Materials,Materials,1135
WIN,WIN METALS LTD,Materials,Materials,1136
14D,1414 DEGREES LIMITED,Industrials,Capital Goods,1137
GUL,GULLEWA LIMITED,Materials,Materials,1138
VHL,VITASORA HEALTH LIMITED,Health Care,Health Care Equipment & Services,1139
DEL,DELOREAN CORPORATION LIMITED,Utilities,Utilities,1140
CML,CONNECTED MINERALS LIMITED,Information Technology,Technology Hardware & Equipment,1141
TSL,TITANIUM SANDS LIMITED,Materials,Materials,1142
FME,FUTURE METALS NL,Energy,Energy,1143
RHT,RESONANCE HEALTH LIMITED,Health Care,Health Care Equipment & Services,1144
PVT,PIVOTAL METALS LIMITED,Materials,Materials,1145
HOR,HORSESHOE METALS LIMITED,Materials,Materials,1146
XF1,XREF LIMITED,Information Technology,Software & Services,1147
NIM,NIMY RESOURCES LIMITED,Materials,Materials,1148
GEN,GENMIN LIMITED,Materials,Materials,1149
GRV,GREENVALE ENERGY LTD,Energy,Energy,1150
NHE,NOBLE HELIUM LIMITED,Energy,Energy,1151
NOX,NOXOPHARM LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1152
AVG,AUSTRALIAN VINTAGE LTD,Other,"Food, Beverage & Tobacco",1153
GTI,GRATIFII LIMITED,Information Technology,Software & Services,1154
ACP,AUDALIA RESOURCES LIMITED,Materials,Materials,1155
HIO,HAWSONS IRON LTD,Materials,Materials,1156
SEQ,SEQUOIA FINANCIAL GROUP LTD,Financials,Financial Services,1157
PVL,POWERHOUSE VENTURES LIMITED,Financials,Financial Services,1158
SGA,SARYTOGAN GRAPHITE LIMITED,Materials,Materials,1159
CCX,CITY CHIC COLLECTIVE LIMITED,Consumer Discretionary,Consumer Discretionary Distribution & Retail,1160
IME,IMEXHS LIMITED,Health Care,Health Care Equipment & Services,1161
PAB,PATRYS LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1162
SDV,SCIDEV LTD,Materials,Materials,1163
AGN,ARGENICA THERAPEUTICS LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1164
MVL,MARVEL GOLD LIMITED,Materials,Materials,1165
MDI,MIDDLE ISLAND RESOURCES LIMITED,Materials,Materials,1166
WEC,WHITE ENERGY COMPANY LIMITED,Energy,Energy,1167
AT1,ATOMO DIAGNOSTICS LIMITED,Health Care,Health Care Equipment & Services,1168
BAS,BASS OIL LIMITED,Energy,Energy,1169
PKP,PEAK PROCESSING LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1170
MCP,MCPHERSON'S LIMITED,Consumer Staples,Household & Personal Products,1171
IDA,INDIANA RESOURCES LIMITED,Materials,Materials,1172
LPM,LITHIUM PLUS MINERALS LTD,Materials,Materials,1173
USC,US1 CRITICAL MINERALS LIMITED,Materials,Materials,1174
5GN,5G NETWORKS LIMITED,Information Technology,Software & Services,1175
MPX,MUSTERA PROPERTY GROUP LIMITED,Real Estate,Real Estate Management & Development,1176
RRR,REVOLVER RESOURCES HOLDINGS LTD,Materials,Materials,1177
ACU,ACUMENTIS GROUP LIMITED,Real Estate,Real Estate Management & Development,1178
DME,DOME GOLD MINES LIMITED,Materials,Materials,1179
XRA,XENORA MINERALS LTD,Materials,Materials,1180
GSS,GENETIC SIGNATURES LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1181
IPD,IMPEDIMED LIMITED,Health Care,Health Care Equipment & Services,1182
EME,ENERGY METALS LTD,Energy,Energy,1183
RC1,REDCASTLE RESOURCES LIMITED,Materials,Materials,1184
LIT,LIVIUM LTD,Materials,Materials,1185
SSH,SSH GROUP LTD,Energy,Energy,1186
IR1,IRIS METALS LIMITED,Materials,Materials,1187
SKN,SKIN ELEMENTS LIMITED,Consumer Staples,Household & Personal Products,1188
REE,RAREX LIMITED,Materials,Materials,1189
EPX,EPX LIMITED,Information Technology,Software & Services,1190
APL,ASSOCIATE GLOBAL PARTNERS LIMITED,Financials,Financial Services,1191
SMM,SOMERSET MINERALS LIMITED,Materials,Materials,1192
ASV,ASSET VISION CO LTD,Industrials,Commercial & Professional Services,1193
OLL,OPENLEARNING LIMITED,Information Technology,Software & Services,1194
TLM,TALISMAN MINING LIMITED,Materials,Materials,1195
EMN,EURO MANGANESE INC,Materials,Materials,1196
FZR,FITZROY RIVER CORPORATION LTD,Energy,Energy,1197
IAM,INCOME ASSET MANAGEMENT GROUP LIMITED,Financials,Financial Services,1198
CHL,CAMPLIFY HOLDINGS LIMITED,Industrials,Transportation,1199
LM1,LEEUWIN METALS LTD,Materials,Materials,1200
CC9,CHARIOT RESOURCES LTD,Materials,Materials,1201
AVA,AVA RISK GROUP LIMITED,Information Technology,Technology Hardware & Equipment,1202
EMB,EMBELTON LIMITED,Industrials,Capital Goods,1203
FUL,FULCRUM LITHIUM LTD,Materials,Materials,1204
IS3,I SYNERGY GROUP LIMITED,Information Technology,Software & Services,1205
MGA,METALSGROVE MINING LTD,Materials,Materials,1206
SOR,STRATEGIC ELEMENTS LIMITED,Financials,Financial Services,1207
AQX,ALICE QUEEN LIMITED,Materials,Materials,1208
I88,INFINI RESOURCES LIMITED,Materials,Materials,1209
AZ9,ASIAN BATTERY METALS PLC,Materials,Materials,1210
NTI,NEUROTECH INTERNATIONAL LIMITED,Health Care,Health Care Equipment & Services,1211
W2V,WAY 2 VAT LTD,Information Technology,Software & Services,1212
RMX,RED MOUNTAIN MINING LIMITED,Materials,Materials,1213
TNY,TINYBEANS GROUP LTD,Communication Services,Media & Entertainment,1214
TIA,TIAN AN AUSTRALIA LIMITED,Real Estate,Real Estate Management & Development,1215
KAM,K2 ASSET MANAGEMENT HOLDINGS LTD,Financials,Financial Services,1216
XST,XSTATE RESOURCES LIMITED,Energy,Energy,1217
AHF,AUSTRALIAN DAIRY NUTRITIONALS LIMITED,Other,"Food, Beverage & Tobacco",1218
GNM,GREAT NORTHERN MINERALS LIMITED,Materials,Materials,1219
HPR,HIGH PEAK ROYALTIES LIMITED,Energy,Energy,1220
IDT,IDT AUSTRALIA LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1221
BLU,BLUE ENERGY LIMITED,Energy,Energy,1222
CBY,CANTERBURY RESOURCES LIMITED,Materials,Materials,1223
MEX,MINERALS EXPLORATION LIMITED,Materials,Materials,1224
LPE,LOCALITY PLANNING ENERGY HOLDINGS LIMITED,Utilities,Utilities,1225
BAK,BARKLY RARE EARTHS LIMITED,Materials,Materials,1226
VMS,VENARI MINERALS NL,Materials,Materials,1227
FIN,FIN RESOURCES LIMITED,Materials,Materials,1228
EAX,ENERGY ACTION LIMITED,Industrials,Commercial & Professional Services,1229
STG,STRAKER LIMITED,Communication Services,Media & Entertainment,1230
GT1,GREEN TECHNOLOGY METALS LIMITED,Materials,Materials,1231
DKM,DUKETON MINING LIMITED,Materials,Materials,1232
BUX,BUXTON RESOURCES LIMITED,Materials,Materials,1233
SPQ,SUPERIOR RESOURCES LIMITED,Materials,Materials,1234
JAT,JATCORP LIMITED,Consumer Discretionary,Consumer Discretionary Distribution & Retail,1235
AKO,AKORA RESOURCES LIMITED,Materials,Materials,1236
CXZ,CONNEXION MOBILITY LTD,Information Technology,Software & Services,1237
BRU,BURU ENERGY LIMITED,Energy,Energy,1238
ICR,INTELICARE HOLDINGS LIMITED,Health Care,Health Care Equipment & Services,1239
SIS,SIMBLE SOLUTIONS LIMITED,Information Technology,Software & Services,1240
KAL,KALGOORLIE GOLD MINING LIMITED,Materials,Materials,1241
SUH,SOUTHERN HEMISPHERE MINING LIMITED,Materials,Materials,1242
ADD,ADAVALE RESOURCES LIMITED,Energy,Energy,1243
RNV,RENERVE LIMITED,Health Care,Health Care Equipment & Services,1244
BM8,BATTERY AGE MINERALS LTD,Materials,Materials,1245
SRR,SARAMA RESOURCES LTD,Materials,Materials,1246
TAR,TARUGA MINERALS LIMITED,Materials,Materials,1247
HWK,HAWK RESOURCES LIMITED,Materials,Materials,1248
MXO,MOTIO LTD,Communication Services,Media & Entertainment,1249
SCN,SCORPION MINERALS LIMITED,Materials,Materials,1250
EXT,EXCITE TECHNOLOGY SERVICES LTD,Information Technology,Software & Services,1251
BRX,BELARAROX LIMITED,Materials,Materials,1252
ARV,ARTEMIS RESOURCES LIMITED,Materials,Materials,1253
TMX,TERRAIN MINERALS LIMITED,Materials,Materials,1254
TGH,TERRAGEN HOLDINGS LIMITED,Materials,Materials,1255
ATV,ACTIVEPORT GROUP LTD,Information Technology,Software & Services,1256
FG1,FLYNN GOLD LIMITED,Materials,Materials,1257
AKG,ACADEMIES AUSTRALASIA GROUP LIMITED,Consumer Discretionary,Consumer Services,1258
MAG,MAGMATIC RESOURCES LIMITED,Materials,Materials,1259
BHL,BLACK HORSE MINING LIMITED,Materials,Materials,1260
SP8,STREAMPLAY STUDIO LIMITED,Communication Services,Media & Entertainment,1261
MHC,MANHATTAN GOLD CORPORATION LIMITED,Energy,Energy,1262
AD1,ADNEO LIMITED,Communication Services,Media & Entertainment,1263
HTG,HARVEST TECHNOLOGY GROUP LTD,Information Technology,Technology Hardware & Equipment,1264
MEG,MEGADO MINERALS LTD,Materials,Materials,1265
GRL,GODOLPHIN RESOURCES LIMITED,Materials,Materials,1266
EGA,EASTERN GAS CORPORATION LIMITED,Energy,Energy,1267
AFL,AF LEGAL GROUP LTD,Industrials,Commercial & Professional Services,1268
MBK,METAL BANK LIMITED,Materials,Materials,1269
OSL,ONCOSIL MEDICAL LTD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1270
AKA,AUREKA LIMITED,Materials,Materials,1271
MEM,MEMPHASYS LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1272
HFR,HIGHFIELD RESOURCES LIMITED,Materials,Materials,1273
MGL,MAGONTEC LIMITED,Materials,Materials,1274
AHN,ATHENA RESOURCES LIMITED,Materials,Materials,1275
SRJ,SRJ TECHNOLOGIES GROUP PLC,Energy,Energy,1276
TYX,TYRANNA RESOURCES LIMITED,Materials,Materials,1277
XPD,XPEDRA RESOURCES LIMITED,Materials,Materials,1278
NAG,NAGAMBIE RESOURCES LIMITED,Materials,Materials,1279
REZ,RESOURCES & ENERGY GROUP LIMITED,Materials,Materials,1280
RDN,RAIDEN RESOURCES LIMITED,Materials,Materials,1281
AJL,AJ LUCAS GROUP LIMITED,Industrials,Capital Goods,1282
NES,NELSON RESOURCES LIMITED,Materials,Materials,1283
FRE,FIREBRICK PHARMA LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1284
BOA,BOA RESOURCES LTD,Materials,Materials,1285
AU1,THE AGENCY GROUP AUSTRALIA LTD,Real Estate,Real Estate Management & Development,1286
FMR,FMR RESOURCES LIMITED,Materials,Materials,1287
CAZ,CAZALY RESOURCES LIMITED,Materials,Materials,1288
PGM,PLATINA RESOURCES LIMITED,Materials,Materials,1289
NYM,NARRYER METALS LIMITED,Materials,Materials,1290
SMS,STAR MINERALS LIMITED,Materials,Materials,1291
AHE,ADHERIS HEALTH LIMITED,Health Care,Health Care Equipment & Services,1292
ADG,ADELONG GOLD LIMITED,Materials,Materials,1293
IND,INDUSTRIAL MINERALS LTD,Materials,Materials,1294
RAG,RAGNAR METALS LIMITED,Materials,Materials,1295
MAN,MANDRAKE RESOURCES LIMITED,Materials,Materials,1296
CMG,CRITICAL MINERALS GROUP LIMITED,Materials,Materials,1297
NWM,NORWEST MINERALS LIMITED,Materials,Materials,1298
LU7,LITHIUM UNIVERSE LIMITED,Materials,Materials,1299
PMM,PIONEER MINERALS LIMITED,Materials,Materials,1300
1AD,ADALTA LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1301
CND,CONDOR ENERGY LIMITED,Energy,Energy,1302
NVQ,NOVIQTECH LIMITED,Information Technology,Software & Services,1303
KLR,KAILI RESOURCES LIMITED,Energy,Energy,1304
1AE,AURORA ENERGY METALS LIMITED,Materials,Materials,1305
EGY,ENERGY TECHNOLOGIES LIMITED,Industrials,Capital Goods,1306
BMM,BAYAN MINING AND MINERALS LIMITED,Materials,Materials,1307
ROG,RED SKY ENERGY LIMITED,Energy,Energy,1308
BIM,BINDI METALS LIMITED,Materials,Materials,1309
NOV,NOVATTI GROUP LIMITED,Information Technology,Software & Services,1310
DWG,DATAWORKS GROUP LIMITED,Information Technology,Software & Services,1311
JCS,JCURVE SOLUTIONS LTD,Information Technology,Software & Services,1312
AXL,AXEL REE LIMITED,Materials,Materials,1313
EM2,EAGLE MOUNTAIN MINING LIMITED,Materials,Materials,1314
AMU,AMERICAN URANIUM LTD,Materials,Materials,1315
SFX,SHEFFIELD RESOURCES LIMITED,Materials,Materials,1316
UNT,UNITH LTD,Communication Services,Media & Entertainment,1317
RCL,READCLOUD LIMITED,Information Technology,Software & Services,1318
MRQ,MRG METALS LIMITED,Materials,Materials,1319
MBG,MB GOLD LIMITED,Materials,Materials,1320
PGD,PEREGRINE GOLD LTD,Materials,Materials,1321
1MC,MORELLA CORPORATION LIMITED,Materials,Materials,1322
INV,INVESTSMART GROUP LIMITED,Financials,Financial Services,1323
FNR,FAR NORTHERN RESOURCES LIMITED,Materials,Materials,1324
1CG,ONE CLICK GROUP LIMITED,Industrials,Capital Goods,1325
TMS,TENNANT MINERALS LIMITED,Materials,Materials,1326
TIO,TEMAS RESOURCES CORP,Materials,Materials,1327
CMB,CAMBIUM BIO LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1328
XEN,XENITRA LIMITED,Consumer Discretionary,Consumer Discretionary Distribution & Retail,1329
49M,49 METALS LIMITED,Materials,Materials,1330
CCM,CADOUX LIMITED,Materials,Materials,1331
PEC,PERPETUAL RESOURCES LIMITED,Materials,Materials,1332
BNR,BULLETIN RESOURCES LIMITED,Materials,Materials,1333
OMX,ORANGE MINERALS NL,Materials,Materials,1334
THR,THOR ENERGY PLC,Materials,Materials,1335
ZMI,ZINC OF IRELAND NL,Materials,Materials,1336
VR8,VANADIUM RESOURCES LIMITED,Materials,Materials,1337
CYB,AUCYBER LIMITED,Information Technology,Software & Services,1338
STV,SWIFT TV LTD,Communication Services,Media & Entertainment,1339
FNX,FINEXIA FINANCIAL GROUP LIMITED,Financials,Financial Services,1340
DTI,DTI GROUP LTD,Information Technology,Technology Hardware & Equipment,1341
RRE,RIGHT RESOURCES LIMITED,Materials,Materials,1342
KOB,KOBA RESOURCES LIMITED,Materials,Materials,1343
SVY,STAVELY MINERALS LIMITED,Materials,Materials,1344
DUN,DUNDAS MINERALS LIMITED,Materials,Materials,1345
SOP,SYNERTEC CORPORATION LIMITED,Industrials,Commercial & Professional Services,1346
IVG,INVERT GRAPHITE LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1347
IPC,IMPERIAL PACIFIC LIMITED,Financials,Financial Services,1348
GLL,GALILEE ENERGY LIMITED,Energy,Energy,1349
MTL,MANTLE MINERALS LIMITED,Materials,Materials,1350
BPH,BPH ENERGY LTD,Financials,Financial Services,1351
IRD,IRON ROAD LIMITED,Materials,Materials,1352
LCL,LCL RESOURCES LIMITED,Materials,Materials,1353
ADR,ADHERIUM LIMITED,Health Care,Health Care Equipment & Services,1354
M24,MAMBA EXPLORATION LIMITED,Materials,Materials,1355
GIB,GIBB RIVER DIAMONDS LIMITED,Materials,Materials,1356
EG1,EVERGOLD MINERALS LIMITED,Materials,Materials,1357
CLG,CLOSE THE LOOP LTD,Industrials,Commercial & Professional Services,1358
TZL,TZ LIMITED,Information Technology,Technology Hardware & Equipment,1359
FCT,FIRSTWAVE CLOUD TECHNOLOGY LIMITED,Information Technology,Software & Services,1360
TSK,TUSKER MINERALS LTD,Materials,Materials,1361
N1H,N1 HOLDINGS LIMITED,Financials,Financial Services,1362
TG1,TECHGEN METALS LTD,Materials,Materials,1363
TRU,TRUSCREEN GROUP LIMITED,Health Care,Health Care Equipment & Services,1364
RWD,REWARD MINERALS LTD,Materials,Materials,1365
NFM,NEW FRONTIER MINERALS LIMITED,Materials,Materials,1366
PV1,PROVARIS ENERGY LTD,Energy,Energy,1367
PKO,PEAKO LIMITED,Materials,Materials,1368
T92,TERRA CRITICAL MINERALS LIMITED,Energy,Energy,1369
SCP,SCALARE PARTNERS HOLDINGS LIMITED,Financials,Financial Services,1370
AUV,AURAVELLE METALS LIMITED,Materials,Materials,1371
MCO,MYECO GROUP LTD,Materials,Materials,1372
CF1,COMPLII FINTECH SOLUTIONS LTD,Information Technology,Software & Services,1373
EVE,EVE HEALTH GROUP LIMITED,Financials,Financial Services,1374
SER,STRATEGIC ENERGY RESOURCES LIMITED,Materials,Materials,1375
GTE,GREAT WESTERN EXPLORATION LIMITED,Materials,Materials,1376
BGT,BIO-GENE TECHNOLOGY LTD,Materials,Materials,1377
SPA,SPACETALK LTD,Information Technology,Software & Services,1378
AEI,AERIS ENVIRONMENTAL LTD,Industrials,Commercial & Professional Services,1379
PFE,PANTERA MINERALS LIMITED,Materials,Materials,1380
IGN,IGNITE LIMITED,Industrials,Commercial & Professional Services,1381
AXI,AXTEC LIMITED,Real Estate,Real Estate Management & Development,1382
EMA,EMINENCE MINERALS LIMITED,Materials,Materials,1383
EV1,EVOLUTION ENERGY MINERALS LIMITED,Materials,Materials,1384
ITM,ITECH MINERALS LTD,Materials,Materials,1385
QEM,QEM LIMITED,Materials,Materials,1386
IXC,INVEX THERAPEUTICS LTD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1387
QXR,QX RESOURCES LIMITED,Materials,Materials,1388
RR1,REACH RESOURCES LIMITED,Materials,Materials,1389
FOS,FOS CAPITAL LTD,Industrials,Capital Goods,1390
AMO,AMBERTECH LIMITED,Information Technology,Technology Hardware & Equipment,1391
AAJ,ARUMA RESOURCES LIMITED,Materials,Materials,1392
ALY,ALCHEMY RESOURCES LIMITED,Materials,Materials,1393
ICL,ICENI GOLD LIMITED,Materials,Materials,1394
GGE,GRAND GULF ENERGY LIMITED,Energy,Energy,1395
GED,GOLDEN DEEPS LIMITED,Materials,Materials,1396
NSM,NORTH STAWELL MINERALS LTD,Materials,Materials,1397
VRL,VERITY RESOURCES LIMITED,Materials,Materials,1398
TXR,TALONX RESOURCES LIMITED,Materials,Materials,1399
IG6,INTERNATIONAL GRAPHITE LIMITED,Industrials,Capital Goods,1400
GAS,STATE GAS LIMITED,Energy,Energy,1401
IMC,IMMURON LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1402
NGX,NGX LIMITED,Materials,Materials,1403
ALV,ALVO MINERALS LIMITED,Materials,Materials,1404
DSM,DESERT MINERALS LTD,Materials,Materials,1405
R8R,REGENER8 RESOURCES NL,Materials,Materials,1406
WSI,WESTSTAR INDUSTRIAL LIMITED,Materials,Materials,1407
OLY,OLYMPIO METALS LIMITED,Materials,Materials,1408
KFM,KINGFISHER MINING LTD,Materials,Materials,1409
E79,E79 GOLD MINES LIMITED,Materials,Materials,1410
TMB,TAMBOURAH METALS LTD,Materials,Materials,1411
CCO,THE CALMER CO INTERNATIONAL LIMITED,Consumer Staples,Household & Personal Products,1412
CPO,CULPEO MINERALS LIMITED,Materials,Materials,1413
CTQ,CARETEQ LIMITED,Health Care,Health Care Equipment & Services,1414
CDT,CASTLE MINERALS LIMITED,Materials,Materials,1415
H3E,H3 ENERGY LIMITED,Energy,Energy,1416
RB6,RUBIX RESOURCES LIMITED,Materials,Materials,1417
RCR,RINCON RESOURCES LIMITED,Materials,Materials,1418
NAE,NEW AGE EXPLORATION LIMITED,Energy,Energy,1419
GG1,GREEN & GOLD MINERALS LIMITED,Materials,Materials,1420
PLC,PREMIER1 LITHIUM LIMITED,Materials,Materials,1421
GLE,GLG CORP LTD,Consumer Discretionary,Consumer Durables & Apparel,1422
T88,TAITON RESOURCES LIMITED,Materials,Materials,1423
AUG,AUGUSTUS MINERALS LIMITED,Materials,Materials,1424
ODA,ORCODA LIMITED,Information Technology,Software & Services,1425
H2G,H2G LIMITED,Industrials,Commercial & Professional Services,1426
BTN,BUTN LIMITED,Financials,Financial Services,1427
ENL,ENLITIC INC,Health Care,Health Care Equipment & Services,1428
NGS,NUTRITIONAL GROWTH SOLUTIONS LTD,Consumer Staples,Household & Personal Products,1429
HIQ,HITIQ LIMITED,Health Care,Health Care Equipment & Services,1430
OB1,ORBMINCO LIMITED,Materials,Materials,1431
PPY,PAPYRUS AUSTRALIA LIMITED,Materials,Materials,1432
SRK,STRIKE RESOURCES LIMITED,Materials,Materials,1433
GDR,GOLDEN DRAGON MINING LTD,Materials,Materials,1434
CHR,CHARGER METALS NL,Materials,Materials,1435
CHRCB,CHARGER METALS NL,Materials,Materials,1436
TAT,TARTANA MINERALS LIMITED,Materials,Materials,1437
LIO,LION ENERGY LIMITED,Energy,Energy,1438
CAN,CANN GROUP LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1439
BIT,BIOTRON LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1440
FHS,FREEHILL MINING LIMITED,Materials,Materials,1441
TR8,TARRINA RESOURCES LIMITED,Materials,Materials,1442
EMU,EMU NL,Materials,Materials,1443
EMUCA,EMU NL,Materials,Materials,1444
AMD,ARROW MINERALS LTD,Materials,Materials,1445
SLA,SOLARA MINERALS LTD,Materials,Materials,1446
ECS,ECS BOTANICS HOLDINGS LTD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1447
WHK,WHITEHAWK LIMITED,Information Technology,Software & Services,1448
